["opt1","LEFT"]
["opt2","LEFT"]
["opt3","RIGHT"]
["opt4","RIGHT"]
("opt1","mode 1",1,"opt1",1,"transmission",1.66226e-12)
(103, 3)
2.1645664837545125e+14 2.4257592222042504e-02 1.1877861175129976e+00
2.1671955118724328e+14 2.4000833380308610e-02 2.7374858629219534e+00
2.1698245399903534e+14 2.9941702849612579e-02 4.5324069674706875e+00
2.1724535681082738e+14 5.3579487937465704e-02 6.3322636108950814e+00
2.1750825962261944e+14 3.9994253116091977e-02 7.9120481670277751e+00
2.1777116243441147e+14 3.2346046030050667e-02 9.4208514583613052e+00
2.1803406524620353e+14 4.4000163581072990e-02 1.1217439679472880e+01
2.1829696805799556e+14 4.5417683172014604e-02 1.3249618665112934e+01
2.1855987086978762e+14 4.4947814840540515e-02 1.4638562253067466e+01
2.1882277368157966e+14 4.0173759585535138e-02 1.5894462795530108e+01
2.1908567649337172e+14 3.6367857563611793e-02 1.8638018377367370e+01
2.1934857930516375e+14 6.1034596565658628e-02 2.0203845257851928e+01
2.1961148211695581e+14 5.9066557601064419e-02 2.1111464815755678e+01
2.1987438492874784e+14 3.4516137665864526e-02 2.2624375140376912e+01
2.2013728774053991e+14 2.9534740889254341e-02 1.9541944140778071e+01
2.2040019055233194e+14 4.7626993338146455e-02 2.0640667282067085e+01
2.2066309336412400e+14 4.7030298966458703e-02 2.1540940074821830e+01
2.2092599617591603e+14 1.8100408968057525e-02 2.4471360694642822e+01
2.2118889898770809e+14 4.3382038194357153e-02 2.5798994518932830e+01
2.2145180179950012e+14 3.7333718551783558e-02 2.6272536911495482e+01
2.2171470461129219e+14 8.5287218058766306e-03 2.4452754306780385e+01
2.2197760742308422e+14 3.8069908042028276e-02 2.5092575237117060e+01
2.2224051023487628e+14 2.1701912663109110e-02 2.5799760496182724e+01
2.2250341304666831e+14 2.4161810814175896e-02 2.7772834285658845e+01
2.2276631585846038e+14 3.2601476323763340e-02 2.9094285093510067e+01
2.2302921867025241e+14 1.5171074879419754e-02 2.8666468204621435e+01
2.2329212148204444e+14 2.3392711224858195e-02 2.7665386688156378e+01
2.2355502429383650e+14 4.5928744946077391e-02 2.8302824694105176e+01
2.2381792710562853e+14 3.1471961254359249e-02 2.8626701587961456e+01
2.2408082991742059e+14 2.8138393968310822e-02 2.8392298783332855e+01
2.2434373272921262e+14 4.1266653797305694e-02 2.8061065892375225e+01
2.2460663554100469e+14 3.4859626612047438e-02 2.8562289284025294e+01
2.2486953835279672e+14 1.7661160305015862e-02 2.8589942054917092e+01
2.2513244116458878e+14 6.2380324246693718e-03 2.9624190593294848e+01
2.2539534397638081e+14 1.4440759902577956e-02 3.0295213163623238e+01
2.2565824678817288e+14 3.1378270772748178e-02 3.0912780655869401e+01
2.2592114959996491e+14 3.4909053525428196e-02 3.1218507096079001e+01
2.2618405241175697e+14 2.7205345701995169e-02 3.1973931653422255e+01
2.2644695522354900e+14 1.7235612451014223e-02 3.2747512791442347e+01
2.2670985803534106e+14 1.5892517418350034e-02 3.3399030044387899e+01
2.2697276084713309e+14 1.7955659727819356e-02 3.3483163186384409e+01
2.2723566365892516e+14 2.1297178743073714e-02 3.3618334464459906e+01
2.2749856647071719e+14 1.2294632064671603e-02 3.4446990224039702e+01
2.2776146928250925e+14 6.4385020223321349e-03 3.5972055924556884e+01
2.2802437209430128e+14 1.4627643601467823e-02 3.6482116646731122e+01
2.2828727490609334e+14 2.2068319613401787e-02 3.6430005712958391e+01
2.2855017771788538e+14 1.7630263775664744e-02 3.7094443563872169e+01
2.2881308052967744e+14 6.0645409006666864e-03 3.8221371815250500e+01
2.2907598334146947e+14 1.4733573970672964e-02 3.9001714772351782e+01
2.2933888615326153e+14 2.1517063743234973e-02 3.8884137534535782e+01
2.2957882878615706e+14 2.2922687368174949e-02 3.9055621073457090e+01
2.2960178896505356e+14 2.2588636305141643e-02 3.9057824028800354e+01
2.2962474914395006e+14 2.2143679913062795e-02 3.9055621073457090e+01
2.2986469177684562e+14 1.5188155858892412e-02 3.8725480337229129e+01
2.3012759458863766e+14 1.7324143103961701e-02 3.8485767462386384e+01
2.3039049740042969e+14 1.3713168531949437e-02 3.8715735502077003e+01
2.3065340021222175e+14 1.1628492210164178e-02 3.9194856231809069e+01
2.3091630302401378e+14 1.8518682032254367e-02 3.9294820207783673e+01
2.3117920583580584e+14 2.5102364616004378e-02 3.9847968885200480e+01
2.3144210864759788e+14 3.0417573072158380e-02 3.9940678291628842e+01
2.3170501145938994e+14 2.3586754014976664e-02 4.0226802043152404e+01
2.3196791427118197e+14 1.5887734821107679e-02 4.1255282049922435e+01
2.3223081708297403e+14 2.3159255964488024e-02 4.2505526563273506e+01
2.3249371989476606e+14 3.4335437080254445e-02 4.2762101916923122e+01
2.3275662270655812e+14 4.1784252676576060e-02 4.2922751288518391e+01
2.3301952551835016e+14 3.3160675915301932e-02 4.3271096502971055e+01
2.3328242833014222e+14 1.9893317698860824e-02 4.3659136648907975e+01
2.3354533114193425e+14 1.9929640969466620e-02 4.3940460730249903e+01
2.3380823395372631e+14 2.2647718038528528e-02 4.4199658829424884e+01
2.3407113676551834e+14 1.6034404654603311e-02 4.4235142997973462e+01
2.3433403957731041e+14 1.8075288748691493e-02 4.3875003500504320e+01
2.3459694238910244e+14 1.3038197542149795e-02 4.3527873906493049e+01
2.3485984520089450e+14 1.4820103499735312e-02 4.3524185392743746e+01
2.3512274801268653e+14 1.6514546915792069e-02 4.3530366065158482e+01
2.3538565082447859e+14 5.6888678462906394e-03 4.5026958270901545e+01
2.3564855363627062e+14 7.2239759370108557e-03 4.5720094322939033e+01
2.3591145644806269e+14 1.9845689174850176e-02 4.6467610321631369e+01
2.3617435925985472e+14 2.9854688631693313e-02 4.6642943341126376e+01
2.3643726207164675e+14 3.3465810157061071e-02 4.6676981623515537e+01
2.3670016488343881e+14 2.6284385203750329e-02 4.6441129650733018e+01
2.3696306769523088e+14 1.1402859881241761e-02 4.6704857267691231e+01
2.3722597050702291e+14 9.1156842452536219e-03 4.4352992063477686e+01
2.3748887331881494e+14 3.0652247118105703e-02 4.3550181263892561e+01
2.3775177613060700e+14 2.7782495873811121e-02 4.3466509558016810e+01
2.3801467894239903e+14 3.0465935015546990e-02 4.3476526763150858e+01
2.3827758175419109e+14 1.5047375866625559e-02 4.3196040626947344e+01
2.3854048456598312e+14 6.3898137061426689e-03 4.5757796660617764e+01
2.3880338737777519e+14 1.4698624787737645e-02 4.5989566806808320e+01
2.3906629018956722e+14 2.1914253804644675e-02 4.5562505136761892e+01
2.3932919300135928e+14 1.8139417274397031e-02 4.4786065198660431e+01
2.3959209581315131e+14 2.3533324685859426e-02 4.4498971922833590e+01
2.3985499862494338e+14 3.4193475081186669e-02 4.3535825362910529e+01
2.4011790143673541e+14 3.0306044738672964e-02 4.3126737355140854e+01
2.4038080424852747e+14 2.8341648598145801e-02 4.3032749823855916e+01
2.4064370706031950e+14 2.5263905788289766e-02 4.2673230645716309e+01
2.4090660987211156e+14 1.2271596676189786e-02 4.3342512561404916e+01
2.4116951268390359e+14 2.0286499258230197e-02 4.3680420486979223e+01
2.4143241549569566e+14 3.0501568182101729e-02 4.4559042723892432e+01
2.4169531830748769e+14 3.4218915832979951e-02 4.4529300517540307e+01
2.4195822111927975e+14 3.6666326648155369e-02 4.4920396939959538e+01
2.4222112393107178e+14 3.8348125372603056e-02 4.4808788779169163e+01
2.4248402674286384e+14 2.9547267925841555e-02 4.4813318732790215e+01
2.4274692955465588e+14 3.2301013676153782e-02 4.4552010410287096e+01
("opt1","mode 1",1,"opt2",1,"transmission",2.0428049366106655e-12)
(103, 3)
2.1645664837545125e+14 3.9193759101147078e-02 -2.1052631359588450e+00
2.1671955118724328e+14 2.2388130429692434e-02 -1.4728298893392950e+00
2.1698245399903534e+14 3.2388137482852707e-02 7.7147211468157595e-01
2.1724535681082738e+14 5.3599812089885936e-02 1.3457767199629875e+00
2.1750825962261944e+14 4.3032819802538751e-02 2.1422308623533439e+00
2.1777116243441147e+14 4.0511625943829607e-02 3.2719326490728036e+00
2.1803406524620353e+14 3.0463620096625683e-02 4.2616784455254333e+00
2.1829696805799556e+14 3.3124201186539859e-02 6.0059004153758746e+00
2.1855987086978762e+14 5.3457856975640115e-02 6.8359042759206856e+00
2.1882277368157966e+14 4.7283328086728714e-02 7.5893714936766923e+00
2.1908567649337172e+14 4.1150728038071988e-02 8.7155904622061904e+00
2.1934857930516375e+14 3.9045936429456023e-02 9.6484695733753441e+00
2.1961148211695581e+14 2.5706321146010930e-02 1.0868373001530394e+01
2.1987438492874784e+14 3.5228358485227908e-02 1.2313434024618743e+01
2.2013728774053991e+14 4.2778585537453423e-02 1.3088006875987327e+01
2.2040019055233194e+14 3.3464264114008539e-02 1.3859711532624175e+01
2.2066309336412400e+14 1.9646763016070441e-02 1.5099859258001427e+01
2.2092599617591603e+14 2.5496654318130287e-02 1.6716809232207659e+01
2.2118889898770809e+14 3.6015981002254886e-02 1.7527741876827363e+01
2.2145180179950012e+14 3.1180667877517665e-02 1.8131339560868582e+01
2.2171470461129219e+14 1.5235810496410408e-02 1.8850167489374218e+01
2.2197760742308422e+14 5.7531784818383898e-03 2.1682735215478957e+01
2.2224051023487628e+14 2.5425681228842881e-02 2.2697454467628585e+01
2.2250341304666831e+14 3.9955256957994255e-02 2.3065929405241796e+01
2.2276631585846038e+14 3.7282278857253957e-02 2.3251703640301585e+01
2.2302921867025241e+14 1.7653370277585314e-02 2.3185105416933709e+01
2.2329212148204444e+14 1.0709608117396760e-02 2.1495381557139332e+01
2.2355502429383650e+14 1.9473747510438393e-02 2.1529144077932319e+01
2.2381792710562853e+14 2.2921067389871555e-02 2.2193736442377372e+01
2.2408082991742059e+14 2.4099997100283817e-02 2.2503552483827193e+01
2.2434373272921262e+14 1.4963024096145961e-02 2.1979684907912418e+01
2.2460663554100469e+14 1.7416051304652600e-02 2.0689170556257427e+01
2.2486953835279672e+14 1.7753722614133327e-02 2.0049707758508053e+01
2.2513244116458878e+14 9.2268103137161488e-03 1.8513917746598608e+01
2.2539534397638081e+14 2.2021958970623874e-02 1.7223214713346771e+01
2.2565824678817288e+14 2.4957290735682626e-02 1.6664800022745570e+01
2.2592114959996491e+14 1.7793186609325249e-02 1.5792766714417565e+01
2.2618405241175697e+14 1.9089645519668609e-02 1.4544865534098527e+01
2.2644695522354900e+14 2.6730093852392018e-02 1.3951260555273798e+01
2.2670985803534106e+14 2.5640273057865953e-02 1.3719824847556952e+01
2.2697276084713309e+14 1.9858664572743372e-02 1.3316006810307314e+01
