["opt1","LEFT"]
["opt2","LEFT"]
["opt3","RIGHT"]
["opt4","RIGHT"]
("opt1","mode 1",1,"opt1",1,"transmission",1.65668e-13)
(103, 3)
2.2206848740740741e+14 8.9387818137201865e-03 1.7409060351309877e-01
2.2224614219733334e+14 8.6817864630864446e-03 3.0833193434021900e-02
2.2242379698725925e+14 8.3856323938324723e-03 -1.4364779341926942e-01
2.2260145177718519e+14 8.2912480966626442e-03 -3.4566106663367890e-01
2.2277910656711109e+14 8.5563067178494653e-03 -5.4852690013958771e-01
2.2295676135703703e+14 9.1461885212288530e-03 -7.1913349222807943e-01
2.2313441614696297e+14 9.8635430931711104e-03 -8.4161315489133059e-01
2.2331207093688888e+14 1.0468725023036085e-02 -9.1934626451308066e-01
2.2348972572681481e+14 1.0767299180263966e-02 -9.6396094719842029e-01
2.2366738051674075e+14 1.0641046252701578e-02 -9.8804369194388675e-01
2.2384503530666666e+14 1.0050970956048058e-02 -1.0034284412655183e+00
2.2402269009659259e+14 9.0311428239835210e-03 -1.0223144927396177e+00
2.2420034488651850e+14 7.6802481192520637e-03 -1.0600760264277871e+00
2.2437799967644444e+14 6.1551821394054632e-03 -1.1405004481857068e+00
2.2455565446637038e+14 4.6741471060900855e-03 -1.3046869200460787e+00
2.2473330925629628e+14 3.5331877090194566e-03 -1.6119350585937473e+00
2.2491096404622222e+14 3.0431825679777258e-03 -2.0592866949940074e+00
2.2508861883614816e+14 3.1804591848551074e-03 -2.4781995351929376e+00
2.2526627362607406e+14 3.5425261733717348e-03 -2.7723339294447502e+00
2.2544392841600000e+14 3.8424636955325976e-03 -2.9953765987668901e+00
2.2562158320592591e+14 4.0476958503499376e-03 -3.2111952035987348e+00
2.2579923799585184e+14 4.3031345552455814e-03 -3.4483752003129551e+00
2.2597689278577778e+14 4.8135640968894064e-03 -3.6875284061688891e+00
2.2615454757570369e+14 5.6794403251010754e-03 -3.8813245070678439e+00
2.2633220236562962e+14 6.8253653389261639e-03 -4.0037163259961490e+00
2.2650985715555556e+14 8.0765942869524664e-03 -4.0603624295943925e+00
2.2668751194548147e+14 9.2462551850935534e-03 -4.0681696383017307e+00
