["port 2","RIGHT"]
["port 1","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(50, 3)
2.1567802733812950e+14 2.2139502503984129e-11 1.6823170817646232e-01
2.1615406771630372e+14 2.2334202713061031e-11 2.3982112641305037e-01
2.1663221415720394e+14 2.0787450227400153e-11 2.4560804576732534e-01
2.1711248066804612e+14 2.0890538955309108e-11 1.7044164863052524e-01
2.1759488138053622e+14 2.2535181132919795e-11 1.8915090207703789e-01
2.1807943055225653e+14 2.1861365164131176e-11 2.6416023932848243e-01
2.1856614256807022e+14 2.0406714859152730e-11 2.1866542902450589e-01
2.1905503194154488e+14 2.1635365976575152e-11 1.6411567402069382e-01
2.1954611331639516e+14 2.2631976598577809e-11 2.2758793919892098e-01
2.2003940146794488e+14 2.1061227037586835e-11 2.6942809289335040e-01
2.2053491130460891e+14 2.0540563735944077e-11 1.7910758446724229e-01
2.2103265786939512e+14 2.2573603189632550e-11 1.8619863106395693e-01
2.2153265634142662e+14 2.2005309892421533e-11 2.7169229694116687e-01
2.2203492203748491e+14 2.0329385319221060e-11 2.3027703582965092e-01
2.2253947041357372e+14 2.1634228371475800e-11 1.6461437258714515e-01
2.2304631706650472e+14 2.2752707166482058e-11 2.4074590390026493e-01
2.2355547773550450e+14 2.0770462287449607e-11 2.7412461844316049e-01
2.2406696830384381e+14 2.0806540697414857e-11 1.7554032429920999e-01
2.2458080480048922e+14 2.2665240002600568e-11 2.0631405912695541e-01
2.2509700340177753e+14 2.1688501829261985e-11 2.8187609635966976e-01
2.2561558043311322e+14 2.0301189406722622e-11 2.1701296617058333e-01
2.2613655237068966e+14 2.2161663807100446e-11 1.7811991501986715e-01
2.2665993584323403e+14 2.2367625811739117e-11 2.7060269043153784e-01
2.2718574763377666e+14 2.0439097322977793e-11 2.5419113707410279e-01
2.2771400468144472e+14 2.1409880302922622e-11 1.7621846486804704e-01
2.2824472408328153e+14 2.2723543335590306e-11 2.4262085391902546e-01
2.2877792309609094e+14 2.0876472917417670e-11 2.8410161240933268e-01
2.2931361913830781e+14 2.0844327566316388e-11 1.8592279755307309e-01
2.2985182979189484e+14 2.2664120075851418e-11 2.2219030399989517e-01
2.3039257280426597e+14 2.1463953233136810e-11 2.9028385261403750e-01
2.3093586609023738e+14 2.0441697401095830e-11 2.1264789524421393e-01
2.3148172773400566e+14 2.2479812750254167e-11 2.0180573137608288e-01
2.3203017599115462e+14 2.1874422161424905e-11 2.9319598224489518e-01
2.3258122929069031e+14 2.0382923915477441e-11 2.3214278901943622e-01
2.3313490623710522e+14 2.2112941131694866e-11 1.9724491948337325e-01
2.3369122561247216e+14 2.2236763394202292e-11 2.8395720448618578e-01
