["opt1","LEFT"]
["opt2","RIGHT"]
["opt3","RIGHT"]
("opt1","mode 1",1,"opt1",1,"transmission",7.51415e-13)
(103, 3)
2.1645664837545125e+14 1.7452774183861187e-02 -2.1643767841370485e+00
2.1671955118724328e+14 1.7423904421481184e-02 -2.7262394955305118e+00
2.1698245399903534e+14 1.1409937936519583e-02 -3.2391583252978196e+00
2.1724535681082738e+14 2.6493872703675834e-03 -2.8437442458125286e+00
2.1750825962261944e+14 1.0401649544768169e-02 -1.7524583992705409e+00
2.1777116243441147e+14 1.8685115383778889e-02 -2.2354358511352270e+00
2.1803406524620353e+14 2.2006178123245436e-02 -2.7887991726985843e+00
2.1829696805799556e+14 1.9589576269198061e-02 -3.3348466450116447e+00
2.1855987086978763e+14 1.2690252879786883e-02 -3.8058529511940589e+00
2.1882277368157966e+14 4.8251247521567979e-03 -3.7681253146537719e+00
2.1908567649337172e+14 6.6187944601616673e-03 -2.7554492326393807e+00
2.1934857930516375e+14 1.0920227702258957e-02 -3.0435229566072768e+00
2.1961148211695581e+14 1.1214331281891091e-02 -3.5237834046639813e+00
2.1987438492874784e+14 7.7392202872554206e-03 -3.9806433007222792e+00
2.2013728774053991e+14 2.7836087666557154e-03 -3.9545345159492502e+00
2.2040019055233194e+14 4.1539994236928762e-03 -2.7888987104957841e+00
2.2066309336412400e+14 6.9631232642646777e-03 -3.1136402093535742e+00
2.2092599617591603e+14 6.7604223750089105e-03 -3.6180418579611229e+00
2.2118889898770809e+14 3.7607045872569121e-03 -4.0952980443880609e+00
2.2145180179950013e+14 1.0551040520678820e-03 -2.4857621395158800e+00
2.2171470461129219e+14 4.8718734810559135e-03 -2.4745454246220429e+00
2.2197760742308422e+14 6.9756664910458266e-03 -3.0280311493708520e+00
2.2224051023487628e+14 6.5339415391258097e-03 -3.6319743774875057e+00
2.2250341304666831e+14 3.9588198595418627e-03 -4.2770449116191056e+00
2.2276631585846038e+14 5.3022346968218076e-04 -5.4426962185639081e+00
2.2302921867025241e+14 2.6080219848031872e-03 -8.4972248242496740e+00
2.2329212148204444e+14 4.0993534297782226e-03 -9.2192327542097185e+00
2.2355502429383650e+14 3.8358973161463994e-03 -9.9652610018212169e+00
2.2381792710562853e+14 2.4363050967903268e-03 -1.0874014962471310e+01
2.2408082991742059e+14 1.2239958626176801e-03 -1.2354709462545932e+01
2.2434373272921263e+14 1.1423654872495571e-03 -1.4127492997970716e+01
2.2460663554100469e+14 1.0218442412924930e-03 -1.5834913807641328e+01
2.2486953835279672e+14 1.9261248119012374e-03 -1.7612485796169683e+01
2.2513244116458878e+14 3.4760103259137212e-03 -1.8593651712521588e+01
2.2539534397638081e+14 4.1477714086319605e-03 -1.9344779681497833e+01
2.2565824678817288e+14 3.0994263227373149e-03 -2.0073543008852035e+01
2.2592114959996491e+14 7.8353597416031863e-04 -2.1866758311749344e+01
2.2618405241175697e+14 3.9616421087998272e-03 -2.3928014986081692e+01
2.2644695522354900e+14 7.7181590882832119e-03 -2.4545956829051324e+01
2.2670985803534106e+14 1.0044240290020209e-02 -2.5041912012417349e+01
2.2697276084713309e+14 1.0227417987824059e-02 -2.5439590815227682e+01
2.2723566365892516e+14 8.5984501518846408e-03 -2.5675319126842620e+01
2.2749856647071719e+14 6.8421518839744027e-03 -2.5616095259589656e+01
2.2776146928250925e+14 7.1917106739856846e-03 -2.5374632353606170e+01
2.2802437209430128e+14 8.9704280416752526e-03 -2.5325058218522930e+01
2.2828727490609334e+14 1.0375000380595885e-02 -2.5403552701435039e+01
2.2855017771788538e+14 1.1066366527560930e-02 -2.5488709166025114e+01
2.2881308052967744e+14 1.1440270166876503e-02 -2.5552002293508540e+01
2.2907598334146947e+14 1.1649279690012245e-02 -2.5613495803684113e+01
2.2933888615326153e+14 1.1427061149896767e-02 -2.5676801079412265e+01
2.2957882878615706e+14 1.0726593354034614e-02 -2.5708202009252108e+01
2.2960178896505356e+14 1.0641048653053748e-02 -2.5708502915829357e+01
2.2962474914395006e+14 1.0553592473676708e-02 -2.5708202009252027e+01
2.2986469177684563e+14 9.6307560903235740e-03 -2.5663135701961473e+01
2.3012759458863766e+14 9.0525150646240376e-03 -2.5518743985732367e+01
2.3039049740042969e+14 9.6285346296550237e-03 -2.5322017481648526e+01
2.3065340021222175e+14 1.1744819527504816e-02 -2.5198754579105302e+01
2.3091630302401378e+14 1.4792971601438519e-02 -2.5227913292546116e+01
2.3117920583580584e+14 1.7318360985176046e-02 -2.5382080408524143e+01
2.3144210864759788e+14 1.7831635754889563e-02 -2.5596501779837354e+01
2.3170501145938994e+14 1.5648537562491956e-02 -2.5790928491238692e+01
2.3196791427118197e+14 1.1774191233797195e-02 -2.5822173061085586e+01
2.3223081708297403e+14 9.9114898513559986e-03 -2.5526121317010343e+01
2.3249371989476606e+14 1.2333759513971277e-02 -2.5329758548717066e+01
2.3275662270655813e+14 1.4724449796458091e-02 -2.5449529290008329e+01
2.3301952551835016e+14 1.3967811598481931e-02 -2.5667459711561186e+01
2.3328242833014222e+14 1.0038442081585377e-02 -2.5772256268664101e+01
2.3354533114193425e+14 6.8030000805807955e-03 -2.5325698462757671e+01
2.3380823395372631e+14 1.0075720680877125e-02 -2.4862807909268469e+01
2.3407113676551834e+14 1.4364546645509622e-02 -2.4949329938045132e+01
2.3433403957731041e+14 1.5875636859169259e-02 -2.5145027776036759e+01
2.3459694238910244e+14 1.4807441982957010e-02 -2.5265225114122636e+01
2.3485984520089450e+14 1.3643924307413549e-02 -2.5232941725751637e+01
2.3512274801268653e+14 1.4317235630467003e-02 -2.5183128500979425e+01
2.3538565082447859e+14 1.5131839295109717e-02 -2.5262657661603274e+01
2.3564855363627063e+14 1.3876898743036752e-02 -2.5388402506053669e+01
2.3591145644806269e+14 1.1032261019671474e-02 -2.5366615203865774e+01
2.3617435925985472e+14 1.0304403168479352e-02 -2.5084197608452506e+01
2.3643726207164675e+14 1.3005480078606028e-02 -2.4976829565524206e+01
2.3670016488343881e+14 1.4992127341721770e-02 -2.5134950729770612e+01
2.3696306769523088e+14 1.3857314378100971e-02 -2.5352605305954668e+01
2.3722597050702291e+14 1.0312852800918600e-02 -2.5422042043264810e+01
2.3748887331881494e+14 8.3814156294509563e-03 -2.5112170197270736e+01
2.3775177613060700e+14 1.0601690336155899e-02 -2.4920422856038137e+01
2.3801467894239903e+14 1.2416920889982757e-02 -2.5074983479770776e+01
2.3827758175419109e+14 1.1246003452677907e-02 -2.5297583088810331e+01
2.3854048456598313e+14 8.1117072332679823e-03 -2.5320115629624709e+01
2.3880338737777519e+14 7.4050991343746365e-03 -2.4960677054968961e+01
2.3906629018956722e+14 9.9675065005668684e-03 -2.4924269559664516e+01
2.3932919300135928e+14 1.1016867338200214e-02 -2.5230440830847051e+01
2.3959209581315131e+14 8.6391110049465758e-03 -2.5637870465842663e+01
2.3985499862494338e+14 3.5162831579291973e-03 -2.5892714308185138e+01
2.4011790143673541e+14 3.4246381504811577e-03 -2.4178295101288210e+01
2.4038080424852747e+14 8.1774420521436367e-03 -2.4507473315623677e+01
2.4064370706031950e+14 1.0063558604988842e-02 -2.5106142435695919e+01
2.4090660987211156e+14 8.6176040202284362e-03 -2.5841584927673821e+01
2.4116951268390359e+14 5.3500575288338032e-03 -2.6909889308971934e+01
2.4143241549569566e+14 4.7194180807111248e-03 -2.8627816217821838e+01
2.4169531830748769e+14 7.1488689054498263e-03 -2.9850860605521380e+01
2.4195822111927975e+14 8.1642489883730698e-03 -3.0738726230393482e+01
2.4222112393107178e+14 6.8712595544629966e-03 -3.1603534515962995e+01
2.4248402674286384e+14 4.1819454026030770e-03 -3.2635749050731910e+01
2.4274692955465588e+14 2.2044121063881971e-03 -3.4345113876196663e+01
("opt1","mode 1",1,"opt2",1,"transmission",4.0282706549651133e-13)
(103, 3)
2.1645664837545125e+14 7.0345571381127325e-01 -1.1818548160811726e+00
2.1671955118724328e+14 7.0358092925912352e-01 -1.2038013576216580e+00
2.1698245399903534e+14 7.0373308945458268e-01 -1.2252038047489708e+00
2.1724535681082738e+14 7.0388311405847315e-01 -1.2460517375099138e+00
2.1750825962261944e+14 7.0401054187115475e-01 -1.2663829453646582e+00
2.1777116243441147e+14 7.0412456509635679e-01 -1.2862461158917746e+00
2.1803406524620353e+14 7.0425276278649296e-01 -1.3056611628380561e+00
2.1829696805799556e+14 7.0441575980421811e-01 -1.3246106973822991e+00
2.1855987086978763e+14 7.0460895844618243e-01 -1.3430608941711617e+00
2.1882277368157966e+14 7.0480357628645951e-01 -1.3609956773073544e+00
2.1908567649337172e+14 7.0496991043991342e-01 -1.3784365592192145e+00
2.1934857930516375e+14 7.0510340708544272e-01 -1.3954222640627332e+00
2.1961148211695581e+14 7.0522257720679038e-01 -1.4119658225623002e+00
2.1987438492874784e+14 7.0533998399295983e-01 -1.4280430352898827e+00
2.2013728774053991e+14 7.0544531445471448e-01 -1.4436275282898543e+00
2.2040019055233194e+14 7.0552184644394744e-01 -1.4587231544159418e+00
2.2066309336412400e+14 7.0557003428091081e-01 -1.4733536083664007e+00
2.2092599617591603e+14 7.0560773684886446e-01 -1.4875320189689081e+00
2.2118889898770809e+14 7.0565334159035609e-01 -1.5012502607114651e+00
2.2145180179950013e+14 7.0571348109365728e-01 -1.5144902744265087e+00
2.2171470461129219e+14 7.0578125912567935e-01 -1.5272398166219183e+00
2.2197760742308422e+14 7.0584251275656607e-01 -1.5395047236544546e+00
2.2224051023487628e+14 7.0588877906787351e-01 -1.5513094016953399e+00
2.2250341304666831e+14 7.0592561160890810e-01 -1.5626776989585811e+00
2.2276631585846038e+14 7.0596272583727981e-01 -1.5736128823132269e+00
2.2302921867025241e+14 7.0599758424207792e-01 -1.5841058608781080e+00
2.2329212148204444e+14 7.0601803245956685e-01 -1.5941603880963078e+00
2.2355502429383650e+14 7.0602074283996352e-01 -1.6037946512024883e+00
2.2381792710562853e+14 7.0601583819161751e-01 -1.6130164855741940e+00
2.2408082991742059e+14 7.0601083852078517e-01 -1.6218126710523377e+00
2.2434373272921263e+14 7.0599979682252123e-01 -1.6301679068025365e+00
2.2460663554100469e+14 7.0597172478280401e-01 -1.6380829351160200e+00
2.2486953835279672e+14 7.0592238002067220e-01 -1.6455702346159535e+00
2.2513244116458878e+14 7.0585554098778858e-01 -1.6526415894613018e+00
2.2539534397638081e+14 7.0577891456370534e-01 -1.6593020259154960e+00
2.2565824678817288e+14 7.0569943334248553e-01 -1.6655473575414019e+00
2.2592114959996491e+14 7.0561658625643942e-01 -1.6713675582350629e+00
2.2618405241175697e+14 7.0552103981919323e-01 -1.6767607959890962e+00
2.2644695522354900e+14 7.0540591889857485e-01 -1.6817421390192850e+00
2.2670985803534106e+14 7.0527774905739204e-01 -1.6863294133659621e+00
2.2697276084713309e+14 7.0514999179459426e-01 -1.6905233115409992e+00
2.2723566365892516e+14 7.0502831749885209e-01 -1.6943102962221512e+00
2.2749856647071719e+14 7.0490852272430859e-01 -1.6976806478425275e+00
2.2776146928250925e+14 7.0478494923732826e-01 -1.7006342001493340e+00
2.2802437209430128e+14 7.0465323591516960e-01 -1.7031745945866690e+00
2.2828727490609334e+14 7.0450874469214753e-01 -1.7053102219634524e+00
2.2855017771788538e+14 7.0435130708493365e-01 -1.7070565078838238e+00
2.2881308052967744e+14 7.0418952094212584e-01 -1.7084249249831920e+00
2.2907598334146947e+14 7.0403289231173205e-01 -1.7094115900671258e+00
2.2933888615326153e+14 7.0388144110900652e-01 -1.7100051787748629e+00
2.2957882878615706e+14 7.0374179430197603e-01 -1.7102006413503701e+00
2.2960178896505356e+14 7.0372817302470614e-01 -1.7102021354164065e+00
2.2962474914395006e+14 7.0371449556453614e-01 -1.7102006413503110e+00
2.2986469177684563e+14 7.0356782017864883e-01 -1.7100072715606613e+00
2.3012759458863766e+14 7.0339804232873759e-01 -1.7094268922864797e+00
2.3039049740042969e+14 7.0321797166036359e-01 -1.7084702248248778e+00
2.3065340021222175e+14 7.0303272119531701e-01 -1.7071498496404451e+00
2.3091630302401378e+14 7.0285456391217449e-01 -1.7054705037486868e+00
2.3117920583580584e+14 7.0269290783703053e-01 -1.7034234112398539e+00
2.3144210864759788e+14 7.0254704536072998e-01 -1.7009997446827885e+00
2.3170501145938994e+14 7.0241327686581678e-01 -1.6982027795422934e+00
2.3196791427118197e+14 7.0229281382583753e-01 -1.6950403754666317e+00
2.3223081708297403e+14 7.0218734471965027e-01 -1.6915157038617195e+00
2.3249371989476606e+14 7.0209427580238970e-01 -1.6876341747968266e+00
2.3275662270655813e+14 7.0201348700243571e-01 -1.6834091906291511e+00
2.3301952551835016e+14 7.0195245152569496e-01 -1.6788500947040543e+00
